hour,solar_cf,price
778,0.431988966,19.2
779,0.540170497,20.3
780,0.467265817,20.9
781,0.676515205,21.4
782,0.799383235,22.1
783,0.547322813,23.5
784,0.493876269,24.5
785,0.255365456,25.7
786,0.12882839,26.8
787,0.002253149,20.3
788,0,22.4
789,0,22.4
790,0,23.9
791,0,26
792,0,27.3
793,0,33
794,0,34.9
795,0,33.8
796,0,31.4
797,0,28.2
798,0,22.9
799,0.001165483,19.9
800,0.107465067,19
801,0.30735014,17.6
802,0.528163741,16.5
803,0.676456139,15.4
804,0.769671237,14.9
805,0.807110252,14.2
806,0.719842849,13.6
807,0.653970237,13.7
808,0.542368858,14.6
809,0.351163546,15.5
810,0.139721767,16.9
811,0.001771217,16.6
812,0,15
813,0,14.5
814,0,14.4
815,0,15.8
816,0,17.5
817,0,18.6
818,0,19
819,0,17.9
820,0,17.2
821,0,16.1
822,0,14.2
823,0.0002701,13.2
824,0.092097228,13.1
825,0.240069417,13
826,0.313914978,12.9
827,0.517453985,13
828,0.784144433,12.9
829,0.757108074,13.1
830,0.62920777,13.7
831,0.703497525,14.1
832,0.475552865,14.9
833,0.392954242,16.1
834,0.153656173,17.5
835,0.003281038,17.3
836,0,15.1
837,0,14.9
838,0,15.2
839,0,16.6
840,0,18.5
841,0,19.8
842,0,18.1
843,0,17.5
844,0,18
845,0,18.5
846,0,16.8
847,0.001223933,17
848,0.123770729,17.5
849,0.281494436,17.6
850,0.42589635,18.4
851,0.61137994,19.2
852,0.777544279,20
853,0.774922873,20.6
854,0.738944588,21.4
855,0.690853448,21.9
856,0.5514796,23.5
857,0.372794039,24.4
858,0.136771546,25.7
859,0.001916125,21.7
860,0,21.9
861,0,21.9
862,0,23.2
863,0,25.8
864,0,27.4
865,0,32.7
866,0,34.3
867,0,33.6
868,0,33.2
869,0,29.7
870,0,26.2
871,0.001780272,22.6
872,0.137085711,19.8
873,0.264774961,17.3
874,0.36959643,16.3
875,0.476930248,15.5
876,0.681467864,16.2
877,0.655894701,16.8
878,0.718233903,17.8
879,0.69098977,19.1
880,0.531111332,20.5
881,0.363357907,22.1
882,0.129827479,22.7
883,0.002204632,21
884,0,19.7
885,0,19.3
886,0,20.6
887,0,22.4
888,0,25
889,0,26.1
890,0,26.5
891,0,26.1
892,0,26
893,0,23.4
894,0,20.6
895,0.001224088,18.3
896,0.075081277,16.7
897,0.272697885,15.3
898,0.441346137,14.9
899,0.611746514,15.6
900,0.77215707,15.5
901,0.772248349,15.2
902,0.692286166,15.4
903,0.625260266,15.5
904,0.533458883,15.4
905,0.361607048,15
906,0.134941978,14.8
907,0.002251275,14.8
908,0,12.6
909,0,12.4
910,0,13.7
911,0,16.1
912,0,19.1
913,0,21.3
914,0,23.1
915,0,23.5
916,0,22.5
917,0,20.8
918,0,16.9
919,0.001776566,14.8
920,0.11742707,14.9
921,0.274344223,13.9
922,0.41987672,13.6
923,0.652314393,13.5
924,0.733771893,13.9
925,0.759921476,14.4
926,0.713937695,15.8
927,0.691644542,16.3
928,0.479089916,16.8
929,0.33102176,17.4
930,0.115166485,18.1
931,0.002802424,17.9
932,0,16.5
933,0,16.1
934,0,16.4
935,0,18
936,0,20.6
937,0,21.5
938,0,21.2
939,0,20.6
940,0,19.4
941,0,18.9
942,0,16.7
943,0.001287927,15.6
944,0.091280081,16.5
945,0.29599418,17.1
946,0.552929146,17.7
947,0.63417419,18.5
948,0.771829544,19
949,0.728751418,19.7
950,0.807537669,20.5
951,0.630422816,21
952,0.44651416,21.3
953,0.335722377,21.7
954,0.115659305,23.2
955,0.002211702,22.2
956,0,20.6
957,0,19.7
958,0,21.1
959,0,24.4
960,0,28.8
961,0,30
962,0,29.5
963,0,28.3
964,0,28.2
965,0,25.2
966,0,20.3
967,0.001683091,17.3
968,0.071591327,16.3
969,0.292452242,15.1
970,0.530749671,14.7
971,0.636085466,15.5
972,0.661432389,15.7
973,0.733052411,16.6
974,0.780391969,18
975,0.592127215,17.9
976,0.601315188,19.5
977,0.373150483,20.3
978,0.129950937,20.9
979,0.001478877,21
980,0,18.9
981,0,18.3
982,0,19.7
983,0,22.7
984,0,26.1
985,0,28.2
986,0,27.2
987,0,25.4
988,0,23.3
989,0,20.2
990,0,16.8
991,0.001716899,14.4
992,0.123117026,14.6
993,0.310606708,13.4
994,0.527425411,13.3
995,0.564558601,13.3
996,0.746970739,13.6
997,0.733965615,14.7
998,0.694611836,15.5
999,0.682806522,16.1
1000,0.442788832,17.2
1001,0.343447057,18.7
1002,0.116056922,20.1
1003,0.0027164,19.5
1004,0,16.7
1005,0,16.3
1006,0,16.6
1007,0,18.1
1008,0,20.9
1009,0,22
1010,0,21.5
1011,0,20.6
1012,0,20.5
1013,0,19.6
1014,0,17.9
